key,f_alta,genero,edad,sucursal,div,num_ventas,sueldo_prom,antigüedad,num_trabajos_previos,edo_civil,experiencia,escolaridad,salario_diario_ant,num_dias,target
14252,03-Feb-15,1,29,QUERETARO ACUEDUCTO,1,13,2994.0143,14,2.51903,NA,NA,NA,41,94,0
14253,03-Feb-15,0,35,BAJIO,1,6,5871.8098,14,1.6977713,NA,NA,NA,1096,49,0
14254,03-Feb-15,1,26,CHIHUAHUA,1,8,2513.8963,,,NA,NA,NA,,49,0
14255,03-Feb-15,1,23,ARANDAS,1,8,3790.9271,,,NA,NA,NA,,63,0
14256,03-Feb-15,0,24,EJERCITO,2,1,604.302,6,0.68873937,NA,NA,NA,176,38,0
14257,03-Feb-15,1,31,CULIACAN HUMAYA,1,1,475.88783,13,3.6345747,NA,NA,NA,304,37,0
14258,03-Feb-15,1,33,MATAMOROS,1,3,1005.5585,16,6.6717676,NA,NA,NA,8,44,0
14259,03-Feb-15,1,27,VIADUCTO,2,12,7997.0514,9,3.7856288,NA,NA,NA,232,118,0
14260,03-Feb-15,1,23,JUAREZ PASO DEL NORTE,1,9,1202.6131,4,2.1177164,NA,NA,NA,142,115,0
14261,03-Feb-15,1,27,TORREON COMARCA,1,2,1950.3847,7,1.7555745,NA,NA,NA,79,49,0
14262,03-Feb-15,1,33,TORREON COMARCA,1,2,526.49812,,,NA,NA,NA,,44,0
14263,03-Feb-15,1,46,QUERETARO ACUEDUCTO,1,4,2190.7458,,,NA,NA,NA,,20,0
14264,03-Feb-15,0,30,IRAPUATO,1,24,6782.4043,14,2.5332139,NA,NA,NA,399,566,1
14265,03-Feb-15,0,43,CUERNAVACA,2,2,1213.1363,27,5.2184323,NA,NA,NA,329,64,0
14266,03-Feb-15,1,27,TORREON,1,5,2133.1861,,,NA,NA,NA,,48,0
14267,03-Feb-15,0,28,IRAPUATO,1,21,5965.9194,7,1.6539854,NA,NA,NA,108,510,1
14268,03-Feb-15,0,36,TIJUANA RIO,1,2,384.48715,19,3.6025348,NA,NA,NA,226,76,0
14269,03-Feb-15,1,28,TAMPICO ALTAMIRA,1,2,1522.0857,5,1.1505199,NA,NA,NA,215,34,0
14270,03-Feb-15,0,30,AGUASCALIENTES,1,22,8245.4403,8,2.8398017,NA,NA,NA,167,226,1
14271,03-Feb-15,0,45,TIJUANA RIO,1,16,5396.8336,18,3.5251653,NA,NA,NA,161,189,1
14272,03-Feb-15,0,31,COUNTRY CLUB,1,12,3031.9811,13,1.8550764,NA,NA,NA,43,94,0
14273,03-Feb-15,0,29,ILIADA METRO NORTE,2,15,7937.0379,12,1.8892244,NA,NA,NA,220,157,0
14274,03-Feb-15,1,32,VIVEROS,2,1,377.68875,10,1.9286992,NA,NA,NA,110,31,0
14275,03-Feb-15,1,48,MATAMOROS,1,27,13100.225,30,6.8468097,NA,NA,NA,332,391,1
14276,03-Feb-15,0,55,TORREON,1,23,14550.107,30,4.8164213,NA,NA,NA,683,188,1
14277,03-Feb-15,1,39,NUEVO LAREDO,1,17,5982.4856,18,2.8894088,NA,NA,NA,176,113,0
14278,03-Feb-15,1,34,PALACIO,2,5,2178.0138,6,1.3365608,NA,NA,NA,286,65,0
14279,03-Feb-15,1,33,TAMPICO ALTAMIRA,1,6,971.74366,16,4.1187678,NA,NA,NA,344,64,0
14280,03-Feb-15,1,33,PALACIO,2,7,1444.2818,12,5.4132511,NA,NA,NA,300,31,0
14281,03-Feb-15,0,36,TIJUANA CACHANILLA,1,9,3479.4771,21,3.1963148,NA,NA,NA,6,91,0
14282,03-Feb-15,0,25,HAMBURGO,2,4,9897.7114,6,1.1950982,NA,NA,NA,177,56,0
14283,03-Feb-15,1,41,TORREON COMARCA,1,1,285.53269,11,2.0607238,NA,NA,NA,146,24,0
14284,03-Feb-15,1,39,MONCLOVA,1,13,6044.14,20,6.4942322,NA,NA,NA,340,100,0
14285,03-Feb-15,1,28,PRADO CHURUBUSCO,2,21,17112.739,11,1.8336653,NA,NA,NA,228,807,1
14286,03-Feb-15,1,32,MATAMOROS,1,2,257.3493,8,4.5560465,NA,NA,NA,140,120,0
14287,03-Feb-15,1,34,TIJUANA CACHANILLA,1,11,4435.8893,17,3.2317938,NA,NA,NA,324,150,0
14288,03-Feb-15,1,36,CELAYA,1,20,9761.6653,20,3.8713147,NA,NA,NA,55,204,1
14289,03-Feb-15,1,36,CELAYA,1,20,9761.6653,20,5.890232,NA,NA,NA,70,204,1
14290,03-Feb-15,1,27,NA,2,1,60.4302,8,1.3361594,NA,NA,NA,37,30,0
14291,03-Feb-15,1,38,MONTERREY MITRAS,1,1,60.4302,20,4.8586519,NA,NA,NA,261,38,0
14292,03-Feb-15,1,29,CHAPULTEPEC,2,3,855.08733,10,1.8947114,NA,NA,NA,122,57,0
14293,03-Feb-15,1,44,CUERNAVACA MORELOS,2,17,6638.0283,19,6.297342,NA,NA,NA,8,163,0
14294,03-Feb-15,0,37,TRADE CENTER,2,21,16905.635,22,8.5873802,NA,NA,NA,42,132,0
14295,03-Feb-15,1,32,TIJUANA RIO,1,15,4743.5102,10,2.4909434,NA,NA,NA,247,174,0
14296,03-Feb-15,1,31,CRONOS,2,8,3782.4877,11,1.8055519,NA,NA,NA,282,99,0
14297,03-Feb-15,0,28,HAMBURGO,2,1,679.83975,2,0.59186254,NA,NA,NA,22,42,0
14298,03-Feb-15,0,45,COSTA DEL SOL,2,15,2388.5818,18,2.450563,NA,NA,NA,151,230,1
14299,03-Feb-15,1,28,TRADE CENTER,2,1,555.20246,11,1.6301057,NA,NA,NA,301,28,0
